iter	RMSE
0	36630.79792
1	34616.78514
2	33099.92798
3	31511.91142
4	30091.37107
5	28771.82249
6	27171.419
7	26392.94141
8	25180.91833
9	24085.35193
10	23095.68892
11	22062.40643
12	20914.54465
13	20022.77554
14	19065.52679
15	18160.93487
16	17437.65597
17	16638.21197
18	16074.20116
19	15501.00571
20	14901.23897
21	14270.18925
22	13904.41472
23	13528.16904
24	13198.42842
25	12826.07248
26	12399.93968
27	11938.44349
28	11665.53151
29	11345.20693
30	10969.25678
31	10768.68791
32	10435.9968
33	10072.04799
34	9786.529063
35	9503.528456
36	9241.326031
37	8907.612461
38	8651.398737
39	8479.312053
40	8247.448968
41	7996.605302
42	7791.625269
43	7671.906886
44	7468.882888
45	7292.493417
46	7186.103793
47	6992.476504
48	6774.9884
49	6599.145999
50	6374.946228
51	6195.750524
52	6042.773585
53	5957.224242
54	5804.596345
55	5650.365359
56	5564.096456
57	5403.234002
58	5310.246763
59	5157.894038
60	5061.284843
61	4964.665657
62	4851.322595
63	4727.40952
64	4621.217625
65	4526.339906
66	4429.970687
67	4353.005337
68	4268.925693
69	4165.184393
70	4096.805114
71	4025.674628
72	3956.536686
73	3906.720929
74	3839.39617
75	3799.488102
76	3748.615655
77	3719.313305
78	3668.991737
79	3594.133952
80	3546.860454
81	3481.758382
82	3388.421218
83	3291.243261
84	3254.316632
85	3164.930041
86	3131.911511
87	3049.750265
88	3018.810142
89	2940.54725
90	2907.671193
91	2854.37478
92	2783.987088
93	2718.059343
94	2691.525133
95	2631.258253
96	2603.134436
97	2535.071328
98	2481.332357
99	2439.646809
100	2391.227333
101	2332.274837
102	2313.353628
103	2265.501766
104	2221.614013
105	2204.661388
106	2164.933436
107	2150.693831
108	2085.002721
109	2044.983534
110	2030.881965
111	1990.733961
112	1979.133749
113	1922.662089
114	1910.188196
115	1860.051923
116	1829.46437
117	1820.194538
118	1810.764104
119	1802.163561
120	1793.431944
121	1785.433974
122	1753.660071
123	1715.534171
124	1708.451762
125	1701.749562
126	1681.033738
127	1654.081713
128	1624.200484
129	1606.147857
130	1578.514754
131	1570.859189
132	1564.90706
133	1559.267958
134	1542.447628
135	1511.464854
136	1496.522923
137	1466.505704
138	1450.549477
139	1434.012957
140	1407.623233
141	1392.894104
142	1379.437114
143	1369.336783
144	1347.38662
145	1332.135832
146	1320.020832
147	1312.950018
148	1306.364363
149	1286.772155
150	1275.333878
151	1265.70292
152	1254.692331
153	1234.809931
154	1228.785242
155	1215.612923
156	1204.999887
157	1201.608878
158	1191.427667
159	1181.683501
160	1165.406793
161	1155.727429
162	1152.475434
163	1143.191888
164	1135.231688
165	1126.281768
166	1123.158197
167	1115.726964
168	1107.072773
169	1099.11603
170	1090.779515
171	1082.15682
172	1071.009399
173	1062.720877
174	1042.252425
175	1034.660071
176	1028.430185
177	1018.679539
178	1013.172439
179	998.3774653
180	991.1748682
181	977.6827041
182	972.4385726
183	959.9984124
184	948.5767969
185	942.0470742
186	933.4476767
187	928.2719187
188	922.2691377
189	914.1311905
190	909.2942839
191	902.0121318
192	893.2509584
193	883.2190059
194	878.7647129
195	857.1124734
196	851.8787866
197	844.7999845
198	840.1200349
199	835.2660554
200	822.8718099
201	819.1482847
202	800.3467423
203	796.7419502
204	778.0701102
