iter	Passed	Remaining
0	0	461
1	0	402
2	1	383
3	1	349
4	1	326
5	2	400
6	2	417
7	3	403
8	3	385
9	3	367
10	3	353
11	4	342
12	4	330
13	4	323
14	4	318
15	5	310
16	5	304
17	5	297
18	5	293
19	5	288
20	6	284
21	6	281
22	6	278
23	6	274
24	6	271
25	7	268
26	7	267
27	7	264
28	7	262
29	8	260
30	8	257
31	8	255
32	8	254
33	8	253
34	9	263
35	9	264
36	10	262
37	10	261
38	10	260
39	10	259
40	11	258
41	11	256
42	11	255
43	11	254
44	12	254
45	12	257
46	12	259
47	13	260
48	13	261
49	13	261
50	13	259
51	14	258
52	14	257
53	14	257
54	15	257
55	15	256
56	15	255
57	15	254
58	15	253
59	16	252
60	16	251
61	16	254
62	17	254
63	17	253
64	17	252
65	17	251
66	17	250
67	18	249
68	18	248
69	18	247
70	18	246
71	19	246
72	19	246
73	19	245
74	19	244
75	20	243
76	20	242
77	20	241
78	20	241
79	20	240
80	21	239
81	21	239
82	21	238
83	21	237
84	22	236
85	22	236
86	22	236
87	22	235
88	22	235
89	23	234
90	23	233
91	23	233
92	23	233
93	25	241
94	25	240
95	25	240
96	25	241
97	26	242
98	26	241
99	26	241
100	27	242
101	27	242
102	27	242
103	28	242
104	28	241
105	28	241
106	28	240
107	29	239
108	29	239
109	29	238
110	29	237
111	29	237
112	30	236
113	30	235
114	30	235
115	30	234
116	31	234
117	31	233
118	31	233
119	31	232
120	31	232
121	32	231
122	32	231
123	32	230
124	32	229
125	33	229
126	33	228
127	35	238
128	35	238
129	35	238
130	35	237
131	36	237
132	36	236
133	36	235
134	36	235
135	37	235
136	37	236
137	37	237
138	38	237
139	38	237
140	38	237
141	39	237
142	39	237
143	40	237
144	40	237
145	40	236
146	40	236
147	40	235
148	41	234
149	41	234
150	41	233
151	41	233
152	42	232
153	42	232
154	42	231
155	42	231
156	42	230
157	43	230
158	43	229
159	43	228
160	43	228
161	44	227
162	44	227
163	44	226
164	44	226
165	44	225
166	45	225
167	45	224
168	45	224
169	45	223
170	46	223
171	46	222
172	46	222
173	46	221
174	46	220
175	47	221
176	47	221
177	47	221
178	48	220
179	48	220
180	48	219
181	48	218
182	48	218
183	49	217
184	49	217
185	49	217
186	49	217
187	50	217
188	50	216
189	50	216
190	50	215
191	51	215
192	51	214
193	51	214
194	51	214
195	52	213
196	52	213
197	52	212
198	52	212
199	53	212
200	53	211
201	53	211
202	53	210
203	53	210
204	54	209
205	54	209
206	54	210
207	55	210
208	55	209
209	55	209
210	55	208
211	56	208
212	56	208
213	56	207
214	56	207
215	56	206
216	57	206
217	57	205
218	57	205
219	57	205
220	58	204
221	58	204
222	58	203
223	58	203
224	58	202
225	59	202
226	59	202
227	59	201
228	59	201
229	59	200
230	60	200
231	60	199
232	60	199
233	60	199
234	61	198
235	61	198
236	61	197
237	61	197
238	61	197
239	62	199
240	63	198
241	63	198
242	63	197
243	63	197
244	63	197
245	64	196
246	64	196
247	64	196
248	64	195
249	65	195
250	65	194
251	65	194
252	65	194
253	65	193
254	66	193
255	66	193
256	66	192
257	66	192
258	67	191
259	67	191
260	67	191
261	67	190
262	67	190
263	68	190
264	68	189
265	68	189
266	68	189
267	69	188
268	69	188
269	69	187
270	69	188
271	70	188
272	70	187
273	70	187
274	70	186
275	71	186
276	71	186
277	71	185
278	71	185
279	72	185
280	72	184
281	72	184
282	72	184
283	72	183
284	73	183
285	73	183
286	73	182
287	73	182
288	73	181
289	74	181
290	74	181
291	74	180
292	74	180
293	75	180
294	75	179
295	75	179
296	75	179
297	76	179
298	76	178
299	76	178
300	76	178
301	76	177
302	77	178
303	77	177
304	77	177
305	78	177
306	78	176
307	78	176
308	78	176
309	79	175
310	79	175
311	79	175
312	79	174
313	79	174
314	80	174
315	80	173
316	80	173
317	80	172
318	80	172
319	81	172
320	81	171
321	81	171
322	81	171
323	81	170
324	82	170
325	82	170
326	82	169
327	82	169
328	82	169
329	83	168
330	83	168
331	83	168
332	83	167
333	84	167
334	84	167
335	84	167
336	85	167
337	85	167
338	85	166
339	85	166
340	85	166
341	86	165
342	86	165
343	86	165
344	86	164
345	87	164
346	87	164
347	87	164
348	87	163
349	88	163
350	88	163
351	88	163
352	88	162
353	89	162
354	89	162
355	89	161
356	89	161
357	89	161
358	90	160
359	90	160
360	90	160
361	90	160
362	91	159
363	91	159
364	91	159
365	91	158
366	91	158
367	92	158
368	92	158
369	92	158
370	93	158
371	93	158
372	93	157
373	94	157
374	94	157
375	94	156
376	94	156
377	94	156
378	95	156
379	95	155
380	95	155
381	95	155
382	96	154
383	96	154
384	96	154
385	96	153
386	96	153
387	97	153
388	97	152
389	97	152
390	97	152
391	98	152
392	98	151
393	98	151
394	98	151
395	98	150
396	99	150
397	99	150
398	100	150
399	100	151
400	100	150
401	101	150
402	101	150
403	102	150
404	102	150
405	102	150
406	102	149
407	103	149
408	103	149
409	103	148
410	103	148
411	103	148
412	104	148
413	104	147
414	104	147
415	104	147
416	105	146
417	105	146
418	105	146
419	105	145
420	105	145
421	106	145
422	106	145
423	106	144
424	106	144
425	107	144
426	107	144
427	107	143
428	107	143
429	107	143
430	108	142
431	108	142
432	108	142
433	108	141
434	109	141
435	109	141
436	109	141
437	109	140
438	110	140
439	110	140
440	110	140
441	110	139
442	111	139
443	111	139
444	111	139
445	111	138
446	112	138
447	112	138
448	112	138
449	112	137
450	112	137
451	113	137
452	113	136
453	113	136
454	113	136
455	114	136
456	114	135
457	114	135
458	114	135
459	115	135
460	115	134
461	115	134
462	115	134
463	115	133
464	116	133
465	116	133
466	116	133
467	116	132
468	116	132
469	117	132
470	117	131
471	117	131
472	117	131
473	118	131
474	118	130
475	118	130
476	118	130
477	118	129
478	119	129
479	119	129
480	119	129
481	119	128
482	119	128
483	120	128
484	120	127
485	120	127
486	120	127
487	121	127
488	121	126
489	121	126
490	121	126
491	122	125
492	122	125
493	122	125
494	122	125
495	122	124
496	123	124
497	123	124
498	123	124
499	123	123
500	124	123
501	124	123
502	124	123
503	124	122
504	125	122
505	125	122
506	125	121
507	125	121
508	125	121
509	126	121
510	126	120
511	126	120
512	126	120
513	127	120
514	127	119
515	127	119
516	127	119
517	127	118
518	128	118
519	128	118
520	128	118
521	128	117
